"분위별(1)",분위별(2),2025,2025
"분위별(1)",분위별(2),순자산,가구소득(전년도)
"분위별 평균금액 (만원)",소계,47144,7427
"분위별 평균금액 (만원)",1분위 (만원),1132,1552
"분위별 평균금액 (만원)",2분위 (만원),10462,3586
"분위별 평균금액 (만원)",3분위 (만원),24105,5805
"분위별 평균금액 (만원)",4분위 (만원),47853,8847
"분위별 평균금액 (만원)",5분위 (만원),152085,17338
"분위별 점유율 (%)",소계,100.0,100.0
"분위별 점유율 (%)",1분위 (%),0.5,4.2
"분위별 점유율 (%)",2분위 (%),4.4,9.7
"분위별 점유율 (%)",3분위 (%),10.2,15.6
"분위별 점유율 (%)",4분위 (%),20.3,23.8
"분위별 점유율 (%)",5분위 (%),64.6,46.7
"분위 경계값 (만원)",P10 (만원),1210,1536
"분위 경계값 (만원)",P20 (만원),5108,2550
"분위 경계값 (만원)",P30 (만원),10296,3590
"분위 경계값 (만원)",P40 (만원),16472,4630
"분위 경계값 (만원)",P50 (만원),23860,5800
"분위 경계값 (만원)",P60 (만원),33050,7093
"분위 경계값 (만원)",P70 (만원),46180,8808
"분위 경계값 (만원)",P80 (만원),69380,10918
"분위 경계값 (만원)",P90 (만원),110020,14798
